R2 score

+-------------------+------------------+--------------+-------------+---------------+
| обучение образцы  | тестовые образцы | Угол нашивки |  Layer Size | Number Layers |
|        -0.01      |       -0.15      |         90   |        21   |       34      |
|        -0.00      |       -0.11      |          0   |        21   |       34      |
|        -0.02      |       -0.19      |         90   |        21   |       35      |
|        -0.00      |       -0.10      |          0   |        21   |       35      |
|        -0.00      |       -0.12      |         90   |        21   |       36      |
|        -0.04      |       -0.22      |          0   |        21   |       36      |
|        -0.00      |       -0.05      |         90   |        21   |       37      |
|        -0.07      |       -0.29      |          0   |        21   |       37      |
|        -0.00      |       -0.11      |         90   |        21   |       38      |
|        -0.01      |       -0.13      |          0   |        21   |       38      |
|        -0.05      |       -0.28      |         90   |        21   |       39      |
|        -0.01      |       -0.15      |          0   |        21   |       39      |
|        -0.00      |       -0.06      |         90   |        21   |       40      |
|        -0.00      |       -0.10      |          0   |        21   |       40      |
|        -0.00      |       -0.05      |         90   |        21   |       41      |
|        -0.00      |       -0.12      |          0   |        21   |       41      |
|        -0.00      |       -0.05      |         90   |        21   |       42      |
|        -0.00      |       -0.05      |          0   |        21   |       42      |
|        -0.00      |       -0.06      |         90   |        21   |       43      |
|        -0.03      |       -0.22      |          0   |        21   |       43      |
|        -0.00      |       -0.13      |         90   |        21   |       44      |
|        -0.00      |       -0.05      |          0   |        21   |       44      |
|        -0.00      |       -0.10      |         90   |        21   |       45      |
|        -0.00      |       -0.12      |          0   |        21   |       45      |
|        -0.02      |       -0.02      |         90   |        21   |       46      |
|        -0.00      |       -0.09      |          0   |        21   |       46      |
|        -0.00      |       -0.10      |         90   |        21   |       47      |
|        -0.00      |       -0.10      |          0   |        21   |       47      |
|        -0.00      |       -0.05      |         90   |        21   |       48      |
|        -0.04      |       -0.01      |          0   |        21   |       48      |
|        -0.00      |       -0.09      |         90   |        21   |       49      |
|        -0.02      |       -0.18      |          0   |        21   |       49      |
|        -0.00      |       -0.07      |         90   |        21   |       50      |
|        -0.00      |       -0.06      |          0   |        21   |       50      |
|        -0.00      |       -0.09      |         90   |        21   |       51      |
|        -0.00      |       -0.05      |          0   |        21   |       51      |
|        -0.03      |       -0.01      |         90   |        21   |       52      |
|        -0.01      |       -0.15      |          0   |        21   |       52      |
|        -0.00      |       -0.06      |         90   |        21   |       53      |
|        -0.03      |       -0.22      |          0   |        21   |       53      |
|        -0.00      |       -0.07      |         90   |        21   |       54      |
|        -0.02      |       -0.17      |          0   |        21   |       54      |
|        -0.01      |       -0.04      |         90   |        21   |       55      |
|        -0.00      |       -0.12      |          0   |        21   |       55      |
